,Player ID,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Year,Years Below Median,Outliers,Outliers No Rookie,Number of Years Played,Name
467,5361,132.615384615385,566.769230769231,22.4615384615385,83.5384615384615,80.0769230769231,5.07692307692308,11.0307692307692,20.0615384615385,0.212615384615385,0.331076923076923,0.29,0.372846153846154,0.502538461538461,0.371615384615385,,133.384615384615,0.469230769230769,28.0153846153846,-8.16923076923077,3.87692307692308,2016.0,2,0,0,4,Freddie Freeman
468,5371,39.0,82.0,0.666666666666667,8.66666666666667,4.33333333333333,1.0,4.43333333333333,19.8333333333333,0.089,0.291,0.236666666666667,0.275333333333333,0.325666666666667,0.267,,71.0,-0.333333333333333,-3.43333333333333,3.1,0.2,2014.0,3,1,0,6,Juan Perez
469,5384,85.0,250.8,3.1,27.0,21.7,4.5,4.39,18.6,0.0933,0.2751,0.2242,0.2618,0.3175,0.251,,,0.66,-5.82,5.3,0.78,2017.5,2,0,0,4,Juan Lagares
470,5386,15.0,25.0,0.25,2.0,0.75,0.0,4.125,20.85,0.0775,0.17875,0.13225,0.1675,0.20975,0.16925,,5.0,-0.025,-1.6,-0.075,-0.1,2014.5,1,1,1,5,Andrew Lambo
471,5397,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2013.5,1,0,0,2,Jorge De Leon
472,5408,47.0,134.6,3.2,13.4,13.4,0.6,5.0,21.06,0.1118,0.2856,0.2334,0.2904,0.345,0.2816,,75.6,-0.58,-3.44,-0.24,0.1,2016.0,3,0,0,4,Jake Smolinski
473,5409,98.5714285714286,360.857142857143,10.9285714285714,39.1428571428571,45.6428571428571,0.857142857142857,7.70714285714286,19.4285714285714,0.148285714285714,0.270142857142857,0.247928571428571,0.310214285714286,0.396214285714286,0.307214285714286,,91.2142857142857,-2.42857142857143,1.72857142857143,-0.464285714285714,1.30714285714286,2014.5,3,0,0,3,Pablo Sandoval
474,5411,20.3333333333333,62.6666666666667,2.0,5.0,5.33333333333333,1.0,6.5,38.8,0.162666666666667,0.251333333333333,0.169333333333333,0.228,0.332,0.246333333333333,,55.0,-0.0333333333333333,-1.63333333333333,-1.33333333333333,-0.1,2012.0,3,0,0,8,Alex Liddi
475,5417,131.5,579.166666666667,16.0,82.1666666666667,58.0,23.25,7.14166666666667,12.5833333333333,0.156666666666667,0.321,0.299833333333333,0.35425,0.456333333333333,0.348833333333333,,123.083333333333,0.575,20.2583333333333,-0.0249999999999999,4.03333333333333,2016.5,2,0,0,4,Jose Altuve
476,5420,40.2222222222222,0.777777777777778,0.0,0.0,0.111111111111111,0.0,5.55555555555556,11.1111111111111,0.0,0.0,0.0,0.0555555555555556,0.0,0.0384444444444444,,,0.0,-0.144444444444444,0.0888888888888889,0.0,2018.0,1,0,0,3,Pedro Baez
477,5422,48.5,141.333333333333,0.833333333333333,12.5,8.66666666666667,1.66666666666667,3.23333333333333,19.1666666666667,0.0388333333333333,0.194333333333333,0.169,0.200333333333333,0.207833333333333,0.184166666666667,,11.0,-0.116666666666667,-5.06666666666667,-0.4,-0.133333333333333,2013.66666666667,3,1,0,7,Steve Lombardozzi
478,5432,55.75,159.75,2.0,17.25,13.75,2.75,4.825,25.025,0.07475,0.337,0.25425,0.292,0.3295,0.274,,70.5,0.4,-2.85,-1.625,0.025,2013.5,3,0,0,4,Elian Herrera
479,5450,84.1428571428571,282.428571428571,4.14285714285714,32.0,29.4285714285714,1.42857142857143,10.0428571428571,20.2142857142857,0.105142857142857,0.314285714285714,0.253714285714286,0.348428571428571,0.359142857142857,0.318142857142857,,96.0,0.5,1.68571428571429,-2.85714285714286,0.885714285714286,2013.85714285714,1,0,0,2,Daniel Nava
480,5451,23.0,38.3333333333333,1.0,3.66666666666667,4.0,0.0,7.46666666666667,13.5666666666667,0.139333333333333,0.125333333333333,0.132333333333333,0.190666666666667,0.272,0.198,,,-0.2,-1.03333333333333,-0.566666666666667,-0.0333333333333333,2008.0,0,0,0,3,Drew Macias
