"Player ID","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
3542,12,3,0,42,26,179.2,9.42,2.1,1.35,0.291,95.6,3.51,3.99,3.83,3.79,2.9,2016,1,0,0,1
3543,12,8.66666666666667,0,28.3333333333333,28.3333333333333,177.466666666667,6.44,3.12,0.853333333333333,0.286333333333333,93.3,4.07666666666667,NA,4.09,4.17333333333333,1.7,2012,2,0,0,2
3551,12,12.6666666666667,0,32.6666666666667,32.6666666666667,205.5,6.04,2.63333333333333,1.02666666666667,0.311333333333333,NA,4.17666666666667,NA,4.22,3.98666666666667,1.6,2013,2,0,0,3
3642,8,12,0,32,32,183.2,6.17,3.92,0.98,0.316,92.7,5.34,NA,4.46,4.73,1.7,2010,0,0,0,2
3688,13,9,0,29,28,176,5.06,1.99,1.02,0.278,90.9,3.58,NA,4.29,4.21,2,2008,0,0,0,1
3840,8.66666666666667,15,0,32.3333333333333,32.3333333333333,204.366666666667,4.53333333333333,2.4,0.866666666666667,0.312,NA,4.45,NA,4.25666666666667,4.40333333333333,3,2007.66666666667,0,0,0,1
3886,12.4,11.2,0,30.8,30.6,189.48,7.18,2.81,1.032,0.2884,92.1,4.128,NA,4.054,3.964,3.06,2010,1,0,0,1
3990,12.1666666666667,9.33333333333333,0,33,32.3333333333333,188.283333333333,7.60666666666667,3.945,0.821666666666667,0.298,94.2833333333333,4.17,NA,4.07333333333333,4.19,1.85,2013,1,0,0,2
4026,11,9.5,0,33,32.5,181.1,7.595,3.725,1.535,0.256,91.5,4.145,4.735,5.04,5.23,0.7,2015.5,1,0,0,1
4141,11.25,7.5,0,32.5,30.5,189.3,7.9175,2.985,1.1225,0.29025,93.65,3.9025,NA,4,3.9125,2.875,2013.5,1,0,0,2
4153,16,8.75,0,31.25,31.25,191.6,8.4625,2.8175,0.86,0.26325,93.475,3.09,3.5025,3.5725,3.62,3.75,2016.5,1,0,0,2
4222,13,7,0,30,28,178.2,6.35,3.07,1.41,0.236,88.9,3.73,NA,4.88,4.43,1.4,2008,1,0,0,2
4270,11,11,0,33,33,199.15,4.38,1.805,1.08,0.303,92.5,4.04,NA,4.385,4.45,2.15,2008.5,0,0,0,2
4366,12.3333333333333,12.1666666666667,0,31.3333333333333,31.3333333333333,192.716666666667,5.03833333333333,2.69833333333333,1.16666666666667,0.294666666666667,90.9666666666667,4.25,NA,4.61333333333333,4.45,1.23333333333333,2010.5,1,0,0,1
4371,11,10.4,0,30.8,30.6,178.6,6.292,2.748,1.314,0.2622,91.18,4.072,NA,4.602,4.562,1.56,2013.8,3,0,0,4
4424,10,10,0,30.75,29.75,181.675,6.845,2.6225,0.98,0.3,90.425,3.7825,NA,3.995,3.795,1.875,2012.75,0,0,0,3
4505,13.2,8.6,0,31,31,193.96,7.254,1.69,0.792,0.2908,94.14,3.138,NA,3.292,3.592,3.78,2013,1,0,0,1
4535,10,12,0,29.5,29.5,179.6,6.165,2.71,0.82,0.2995,90.7,3.655,NA,3.905,4.06,2.8,2009.5,0,0,0,2
4538,10,10.1428571428571,0.142857142857143,31.2857142857143,29.8571428571429,173.728571428571,7.29142857142857,2.53285714285714,1.13142857142857,0.297,92.9285714285714,4.31857142857143,NA,4.09857142857143,4.05428571428571,2.22857142857143,2013.14285714286,1,0,0,1
4593,11,12,0,37,29,187,5.87,3.66,0.72,0.278,NA,3.71,NA,4.15,4.37,2.5,2006,0,0,0,1
4913,12.5,8,0,30.5,30.5,189.05,6.535,3.005,0.845,0.275,93.05,3.72,NA,3.915,4.18,2.5,2012.5,1,0,0,2
5089,12,9,0,27,27,173,4.68,1.61,0.88,0.292,89.9,3.54,NA,3.94,3.93,2.4,2012,2,0,0,7
5221,9,5,0,32,27,162,7.22,2.22,1.33,0.273,86.3,3.72,4.3,4.28,4.47,1.6,2018,2,0,0,4
5279,14,7.5,0,32,32,189.55,6.9725,3.1525,1.095,0.27775,92.2,3.9525,NA,4.2775,4.3,2.175,2014.5,1,0,0,3
5372,7.5,11,0,30,30,173.1,9.86,2.805,1.165,0.2985,94.9,4.28,NA,3.61,3.415,3.35,2013.5,1,0,0,3
5508,9,9,0,29,29,168,6.32,4.13,0.54,0.312,91.5,4.34,NA,4.09,4.51,2.2,2008,2,0,0,2
5523,10.5,8.5,0,30.5,30,171,7.71,3.87,1.185,0.2855,93.3,4.21,NA,4.445,4.335,1.2,2011.5,1,0,0,3
5524,14.5714285714286,10,0,32.7142857142857,32.7142857142857,211.714285714286,9.00571428571429,2.04285714285714,0.894285714285714,0.283,92.2285714285714,3.12857142857143,NA,3.18285714285714,3.38857142857143,3.81428571428571,2014.28571428571,2,0,0,2
5551,16,10,0,31.5,31,199.15,5.86,2.625,0.78,0.287,93.4,3.34,NA,3.775,3.99,3.75,2011.5,1,0,0,2
5556,13.5,10,0,32.5,32.5,201.55,6.5,3.245,0.58,0.2845,92.1,3.14,NA,3.635,4.1,3.4,2008.5,3,0,0,3
5669,10.5,10.5,0,30.5,30.5,187.05,4.57,2.09,1.03,0.2975,94.6,3.75,NA,4.38,3.995,1.4,2013,2,0,0,2
5867,14,10,0,30,30,185,9.49,2.58,1.12,0.278,95.9,3.45,3.75,3.61,3.48,3,2015,2,0,0,2
5879,9,9,0,30,26,162.1,5.32,1.83,1.22,0.275,90.3,3.38,NA,4.29,4,1.1,2011,0,0,0,1
6068,7,9,0,31,31,167,5.07,3.99,1.4,0.286,85.9,4.63,NA,5.56,5.52,0.1,2007,0,0,0,2
6230,10.3333333333333,12,0,31.6666666666667,31,187.066666666667,5.03,2.44666666666667,1.10666666666667,0.293333333333333,NA,4.68,NA,4.48666666666667,4.37333333333333,1.16666666666667,2012.33333333333,1,0,0,2
6249,13.25,11.75,0,32,32,195.4,5.83,3.3475,0.9425,0.27475,91.35,3.885,NA,4.3675,4.1275,1.725,2010.5,1,0,0,1
6329,11,11.5,0,31,31,191.433333333333,6.71333333333333,2.93,1.015,0.2905,91.0166666666667,4.09833333333333,NA,4.13333333333333,4.20833333333333,2.76666666666667,2011.16666666667,0,0,0,1
6345,10.25,13.25,0,33.25,33.25,202.075,10.0675,2.955,0.9775,0.303,95.6,3.6625,NA,3.375,3.3675,3.85,2015.5,1,1,0,4
6397,9.25,9.5,0,31,31,172.1,8.53,3.005,1.13,0.28175,91.8,3.915,NA,3.965,4.2925,2.25,2015.75,2,0,0,4
6432,9,12,0,31,31,185.2,6.2,2.57,0.97,0.282,91.7,3.73,NA,4.03,3.71,1.7,2011,0,0,0,2
6562,11,9.5,0,28,28,172.6,7.24,2.375,0.85,0.282,92.2,3.265,NA,3.695,3.785,2.35,2015.5,4,1,0,4
6570,10,12.3333333333333,0,32.3333333333333,32,184.8,7.09,3.75666666666667,0.976666666666667,0.290333333333333,93.1,4.07333333333333,NA,4.32333333333333,4.47333333333333,1.4,2015,2,1,1,5
6632,13,8,0,26.5,26,160.8,10.6075,2.4425,0.9675,0.3045,94.45,3.3,3.425,3.1175,3.1125,4.225,2017.5,2,1,1,5
