"Player ID","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
1965,81,335.857142857143,7.85714285714286,44.4285714285714,27.2857142857143,13.5714285714286,9.04285714285714,19.8714285714286,0.141857142857143,0.282714285714286,0.237,0.317142857142857,0.378857142857143,0.308857142857143,NA,96.7142857142857,2.94285714285714,3.97142857142857,0.928571428571429,1.71428571428571,2013,3,1,0,5
1999,37.6666666666667,48,1,4.66666666666667,9,0.333333333333333,15.5666666666667,25.8333333333333,0.094,0.29,0.233666666666667,0.373,0.327666666666667,0.335333333333333,NA,100,0.6,-0.633333333333333,-0.166666666666667,0.0666666666666667,2007,0,0,0,1
2009,53,112.333333333333,2.33333333333333,11.3333333333333,12,2.33333333333333,6.63333333333333,21.1666666666667,0.115666666666667,0.287,0.238333333333333,0.293333333333333,0.354,0.285666666666667,NA,68.3333333333333,-0.366666666666667,-4.8,-1.2,-0.233333333333333,2007,1,0,0,1
2017,14,22,0,2,3,0,13.6,27.3,0.105,0.231,0.158,0.273,0.263,0.252,NA,48,0,-1.4,-0.9,-0.2,2008,0,0,0,1
2020,14,42,0,2,1,0,9.5,21.4,0,0.214,0.162,0.262,0.162,0.199,NA,20,-0.5,-4.4,1,-0.2,2011,0,0,0,3
2024,6.5,8,0,0.5,1,0,12.5,25,0.0835,0.278,0.2085,0.3335,0.2915,0.3035,NA,80,0.05,0.25,-0.05,0.05,2008.5,0,0,0,5
2034,7.25,18.5,0.75,0.75,2,0.25,11.675,31.675,0.14125,0.168,0.1465,0.2495,0.2875,0.232,NA,34.75,-0.1,-1.525,0.425,-0.075,2008.75,1,0,0,1
2042,13.5,25.5,0,1.5,0.5,0.5,7.3,32.3,0.012,0.404,0.264,0.323,0.2765,0.2795,NA,68,0.4,-0.9,1.05,0.1,2007.5,2,0,0,3
2054,29,26,0,3,0,0,3.8,30.8,0,0.176,0.12,0.154,0.12,0.13,NA,-36,-0.2,-4.5,0.3,-0.3,2009,3,0,0,5
2066,7,5,0,0.5,0,0.5,5.55,11.1,0,0.0835,0.0625,0.111,0.0625,0.0875,NA,-50.5,0.1,-0.6,0,-0.05,2011.5,1,1,0,7
2070,6.6,15.2,0,0.4,0.8,0,0.36,3.86,0.0036,0.1686,0.1714,0.2266,0.175,0.192,NA,12.8,0.08,-1.12,0.1,-0.06,2010.6,2,0,0,3
2073,73.6,191.5,5.3,23.8,23.1,1.4,6.84,24.55,0.1875,0.3292,0.2677,0.3202,0.4553,0.3352,NA,102,-0.76,-1.76,-1.62,0.25,2010.5,0,0,0,1
2081,5,5,0,1,0,0,20,20,0,0.333,0.25,0.4,0.25,0.321,NA,91,0,-0.1,0,0,2007,1,0,0,2
2096,42,120,0,18,10,7,7.5,15,0.064,0.272,0.227,0.286,0.291,0.26,NA,53,1.2,-6.2,-0.3,-0.2,2006,1,0,0,1
2102,60,168.428571428571,1.42857142857143,14.5714285714286,12,2,4.22857142857143,23.5,0.0921428571428572,0.314571428571429,0.237571428571429,0.284,0.329571428571429,0.273714285714286,NA,66.7142857142857,-0.214285714285714,-7.54285714285714,0.628571428571429,-0.128571428571429,2011.28571428571,0,0,0,2
2108,32,112,2,10,11,0,10.7,20.5,0.113,0.233,0.196,0.288,0.309,0.262,NA,42,0.2,-8.3,3.1,-0.1,2006,1,0,0,1
2134,12.8333333333333,7,0.166666666666667,0.666666666666667,0.666666666666667,0,1.35,5.85,0.0208333333333333,0.101833333333333,0.0868333333333333,0.105,0.107666666666667,0.096,NA,NA,0,-0.333333333333333,-0.05,-0.0166666666666667,2010.5,1,0,0,4
2142,5.5,8.5,0,0.5,0.5,0,0,30.85,0,0.2145,0.125,0.225,0.125,0.185,NA,2.5,-0.35,-1.3,-0.05,-0.1,2006.5,2,0,0,3
2143,27.5,59.5,0,2.5,3.5,1,11,25.85,0.0525,0.2845,0.1995,0.292,0.252,0.254,NA,48.5,-0.15,-3.25,-0.35,-0.15,2007,1,0,0,2
2146,7.5,24,0,1,1,1,4.35,7.8,0.028,0.247,0.2285,0.2615,0.256,0.2235,NA,29,0,-2.4,-0.4,-0.2,2006.5,1,0,0,3
2157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,-100,0,-0.3,0,0,2006,0,0,0,3
2158,98,229.111111111111,4.88888888888889,21.3333333333333,27.2222222222222,1.44444444444444,5.06666666666667,17.4555555555556,0.126111111111111,0.298444444444444,0.260555555555556,0.301777777777778,0.386888888888889,0.298333333333333,NA,80.4444444444444,-0.555555555555555,-4.86666666666667,-3.08888888888889,-0.1,2010,1,0,0,1
2160,13,27,1,2,3,0,4.1,8.15,0.078,0.2535,0.247,0.353,0.325,0.3135,NA,88,-0.4,-1.05,0.05,0,2007,1,0,0,2
2162,7,5.5,0.25,1.5,0.5,1.25,2.775,14.675,0.125,0.125,0.155,0.1885,0.28,0.20475,NA,NA,0.1,-0.2,0.375,0.025,2008.75,1,0,0,3
2167,37.1111111111111,132.333333333333,4.66666666666667,13.8888888888889,16.1111111111111,0.111111111111111,12.7222222222222,17.9888888888889,0.160777777777778,0.192666666666667,0.190222222222222,0.288555555555556,0.350666666666667,0.279888888888889,NA,73.7777777777778,-0.411111111111111,-1.41111111111111,-2.48888888888889,0.0555555555555556,2010.66666666667,5,0,0,7
2171,10,3,0.666666666666667,2.66666666666667,0.666666666666667,1.33333333333333,0,16.6666666666667,0.666666666666667,0.5,0.444333333333333,0.444333333333333,1.111,0.641666666666667,NA,313.333333333333,0.1,0.866666666666667,-0.0333333333333333,0.0666666666666667,2007,1,0,0,2
2172,9.25,25,0.5,2.25,2.75,0,2.2,36.925,0.03675,0.27725,0.19725,0.21825,0.234,0.199,NA,22.25,0.15,-0.925,0.6,0.075,2010.5,2,0,0,2
2178,83.6666666666667,300.5,5.16666666666667,33.8333333333333,26.8333333333333,0.833333333333333,7.13333333333333,18.8,0.117166666666667,0.275,0.2355,0.297333333333333,0.3525,0.29,NA,74.8333333333333,-0.533333333333333,-5.3,-1.9,0.3,2008.83333333333,2,0,0,3
2182,6,14,1,4,3,0,21.4,35.7,0.4,0.4,0.3,0.429,0.7,0.449,NA,178,0.4,1.8,-1,0.1,2007,0,0,0,1
2187,60,140.333333333333,3,21.6666666666667,11.3333333333333,6,3.53333333333333,31.2,0.146666666666667,0.339,0.239333333333333,0.282666666666667,0.386,0.291,NA,71.6666666666667,1,-6.16666666666667,-0.0666666666666667,-0.166666666666667,2007,0,0,0,1
2194,20.6666666666667,50.3333333333333,2.33333333333333,6.66666666666667,4.33333333333333,0.333333333333333,10.5666666666667,37.7,0.133,0.307,0.192,0.277,0.325,0.260333333333333,NA,51,0.433333333333333,-0.6,-0.1,0.0666666666666667,2008.33333333333,1,0,0,2
2199,47,135,0,7,3,0,3,20.7,0.067,0.261,0.2,0.244,0.267,0.228,NA,30,-0.7,-12.6,1.5,-0.7,2008,0,0,0,1
2207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,2007,0,0,0,1
2216,65,135.555555555556,2.55555555555556,16.4444444444444,10.8888888888889,1.77777777777778,7.04444444444444,12.7222222222222,0.0808888888888889,0.211888888888889,0.187555555555556,0.252444444444444,0.268555555555556,0.236444444444444,NA,42.7777777777778,0.422222222222222,-4.13333333333333,-0.0777777777777779,0.0222222222222222,2011.88888888889,1,0,0,3
2218,85,245.727272727273,8.45454545454546,30.5454545454545,32.4545454545455,1.36363636363636,7.68181818181818,25.3454545454545,0.181272727272727,0.316636363636364,0.253909090909091,0.315727272727273,0.435090909090909,0.325181818181818,NA,98,0.745454545454545,0.972727272727273,-4.64545454545455,0.481818181818182,2012,0,0,0,1
2225,39.625,95.125,0.75,12.125,5.5,6.75,5.975,12.5375,0.1165,0.268125,0.2455,0.2925,0.361875,0.290125,NA,77.625,0.7125,-2.35,-0.275,0.0125,2011.5,3,0,0,7
2231,89.8333333333333,338,14.8333333333333,38.1666666666667,48.1666666666667,0.833333333333333,9.83333333333333,23.9666666666667,0.177,0.284333333333333,0.236833333333333,0.313666666666667,0.414,0.315166666666667,NA,88.6666666666667,-1.8,-3.68333333333333,-11.1,-0.35,2008.66666666667,1,0,0,3
2238,87.5,220,8,25,25,1,4.2,19.3,0.1905,0.245,0.225,0.2605,0.416,0.2875,NA,68,-0.05,-9.95,-2.75,-0.55,2006.5,3,0,0,4
2264,27.6666666666667,54,0.333333333333333,6,2.66666666666667,0,7.1,33.8,0.064,0.343,0.221333333333333,0.277,0.285333333333333,0.235666666666667,NA,37,0.5,-3.6,-0.5,-0.233333333333333,2013.33333333333,2,1,0,5
2278,10,9,0,0,1,0,0,44.4,0,0.4,0.222,0.222,0.222,0.198,NA,11,0,-1,0.1,-0.1,2006,1,0,0,1
2279,11,13,0,0,0,0,0,23.1,0,0.111,0.083,0.154,0.083,0.125,NA,-30,-0.3,-2.3,-0.2,-0.2,2010,0,1,0,4
2280,72.75,267,7.75,26.5,30,0.75,6.15,22.225,0.145,0.28725,0.24075,0.295,0.386,0.2995,NA,85.25,-2.6,-5.725,-6.425,-0.3,2010.5,3,0,0,3
2307,13,31,0,0,3.5,0,2.45,9.85,0,0.159,0.125,0.144,0.125,0.1245,NA,-27.5,-0.35,-2.6,-0.9,-0.2,2006.5,1,0,0,1
2312,13.5,40,1,3.5,5.5,0,11.65,33,0.11,0.343,0.236,0.3235,0.346,0.3035,NA,79,-0.2,-0.65,-0.15,0.05,2008.5,2,0,0,2
2329,3,2,0,0,0,0,0,100,0,0,0,0,0,0,NA,-100,0,-0.6,-0.1,-0.1,2006,2,0,0,3
2344,28,43,0,1,4,0,9.3,7,0.026,0.222,0.211,0.279,0.237,0.24,NA,33,-0.2,-4,0.3,-0.2,2006,1,0,0,2
2364,65.6,184,1.6,15.8,12,0.8,9.9,10.06,0.086,0.2436,0.228,0.308,0.3138,0.281,NA,71.4,-0.52,-7,-1.1,-0.2,2008.2,2,0,0,3
2369,20,42,0,4,1,1,11.9,16.7,0.057,0.25,0.2,0.3,0.257,0.24,NA,49,0.3,-2.3,-0.3,-0.1,2010,2,0,0,3
2384,36.6666666666667,69,0.666666666666667,9.66666666666667,6,0.333333333333333,9.7,17.2666666666667,0.112666666666667,0.340666666666667,0.285,0.375666666666667,0.397666666666667,0.350333333333333,NA,111.333333333333,0.233333333333333,0.9,-0.133333333333333,0.3,2008,1,0,0,1
2394,18.6666666666667,53,2,8.33333333333333,5.33333333333333,0,8.76666666666667,21,0.240333333333333,0.210666666666667,0.199666666666667,0.277,0.44,0.308333333333333,NA,79.6666666666667,-0.5,-0.5,0.0333333333333333,0.166666666666667,2008,2,0,0,5
2396,137.230769230769,582.076923076923,21.3846153846154,70.5384615384615,71.1538461538462,3.69230769230769,15.5153846153846,16.4461538461538,0.188076923076923,0.256384615384615,0.240307692307692,0.359846153846154,0.428538461538462,0.344153846153846,NA,117.307692307692,-1,10.7307692307692,-12.7384615384615,1.79230769230769,2016,0,0,0,3
2408,41.5,89.5,1,11.5,6.5,1.5,5.3,10.9,0.062,0.1725,0.134,0.177,0.196,0.1675,NA,NA,0.05,0.35,1.3,0.45,2008.5,0,0,0,3
2411,84.8333333333333,294.166666666667,2.83333333333333,34.6666666666667,21,7.83333333333333,6.66666666666667,14.7833333333333,0.0833333333333333,0.322666666666667,0.276833333333333,0.3345,0.360166666666667,0.310666666666667,NA,96.6666666666667,-1.3,-1.01666666666667,-4.45,0.35,2012.5,2,0,0,3
2430,101.75,344.875,3.875,37.125,25.125,3.625,5.6375,12.5375,0.1105,0.269125,0.2475,0.294375,0.35775,0.28675,NA,76.75,1.2,-10.325,5.775,0.6625,2013.5,1,0,0,3
2434,117.529411764706,484.529411764706,27,63.5294117647059,76.5882352941177,4.88235294117647,8.89411764705882,22.8705882352941,0.238352941176471,0.310058823529412,0.274823529411765,0.344,0.513235294117647,0.363705882352941,NA,127.176470588235,-2.08235294117647,14.8117647058824,-7.94705882352941,2.4,2014,1,0,0,2
2448,54,119,0,12,3,1,5,10.1,0.056,0.258,0.231,0.276,0.287,0.255,NA,55,0.6,-5.9,0.5,-0.2,2010,0,0,0,4
2450,56,146.666666666667,0.333333333333333,20,6.66666666666667,5.66666666666667,9.13333333333333,9.56666666666667,0.054,0.321666666666667,0.296,0.364,0.35,0.323,NA,88.3333333333333,0.1,-1.3,3.6,0.7,2007,2,0,0,3
2457,6,6,0,0,0,1,0,50,0,0.333,0.167,0.167,0.167,0.148,NA,-22,0.2,-0.7,0,-0.1,2006,0,0,0,2
2465,9,32,0,2,0,1,12.5,12.5,0,0.417,0.357,0.438,0.357,0.369,NA,125,-0.7,0.3,1.4,0.3,2007,1,0,0,1
2481,16,43.5,0.5,4,5,0.5,5.9,20.85,0.051,0.1965,0.157,0.2335,0.208,0.201,NA,20,0.5,-2,-2.85,-0.35,2011.5,1,0,0,1
2487,4,7,0,0,1,0,0,14.3,0,0,0,0,0,0,0.195,-100,-0.2,-2,0,-0.2,2015,2,0,0,2
2495,101.111111111111,369,18,40.5555555555556,52.4444444444444,1.66666666666667,9.38888888888889,28.6555555555556,0.197777777777778,0.293666666666667,0.237777777777778,0.311,0.435555555555556,0.323111111111111,NA,103.444444444444,-0.133333333333333,2.82222222222222,-6,0.866666666666667,2014,0,0,0,2
2498,43.3333333333333,178,0.666666666666667,20.1666666666667,10.3333333333333,6.83333333333333,4.8,22.45,0.066,0.2975,0.234166666666667,0.2775,0.300166666666667,0.256833333333333,NA,58,0.7,-2.26666666666667,-1.03333333333333,0.266666666666667,2013.5,0,0,0,1
